"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-06","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","143386.0","","","","1"
"2023-07","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","149232.0","","","","1"
"2023-08","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","142404.0","","","","1"
"2023-09","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","159412.0","","","","1"
"2023-10","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","360357.0","","","","1"
"2023-11","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","688036.0","","","","1"
"2023-12","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","781245.0","","","","1"
"2024-01","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1016238.0","","","","1"
"2024-02","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","863678.0","","","","1"
"2024-03","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","744353.0","","","","1"
"2024-04","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","509330.0","","","","1"
"2024-05","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","231716.0","","","","1"
"2024-06","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","158628.0","","","","1"
"2024-07","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","135812.0","","","","1"
"2024-08","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","148972.0","","","","1"
"2024-09","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","175311.0","","","","1"
"2024-10","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","286521.0","","","","1"
"2024-11","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","611792.0","","","","1"
"2024-12","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","905225.0","","","","1"
"2025-01","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1212555.0","","","","1"
"2025-02","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1041406.0","","","","1"
"2025-03","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","832778.0","","","","1"
"2025-04","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","619939.0","","","","1"
"2025-05","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","334612.0","","","","1"
"2025-06","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","135842.0","","","","1"
"2025-07","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","151929.0","","","","1"
"2025-08","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","145824.0","","","","1"
